trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp1.started,instructions.stopped,key_resp1.keys,key_resp1.rt,key_resp1.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
6,3,5,8,29,5,3,4,6,4,6,1,[3.6135082999244332],[3.6135167999891564],3,5,29,5,201.8641326,,,,,,,,,201.8482926,201.8641326,202.3640066,202.3640815,202.3803886,203.7785846,4,6,203.7791258,203.7955224,205.0103775,205.0103775,205.0269305,205.0938074,208.7076719,4,6,1,[3.6135082999244332],[3.6135167999891564],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
7,5,5,10,30,6,3,2,5,6,5,1,[3.2813708999892697],[3.281380599946715],3,6,30,6,208.7241297,,,,,,,,,208.7079511,208.7241297,209.2230215,209.2230946,209.2402102,210.6387271,2,5,210.6392719,210.6555222,211.8535596,211.8535596,211.8710119,211.9533884,215.2351606,6,5,1,[3.2813708999892697],[3.281380599946715],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
8,8,5,13,31,7,3,5,1,5,1,1,[3.0154059999622405],[3.0154153000330552],3,7,31,7,215.2509926,,,,,,,,,215.2354739,215.2509926,215.7341612,215.7342284,215.7503609,217.1660929,5,1,217.1666347,217.1824053,218.3804564,218.3804564,218.3979018,218.4803012,221.4961029,5,1,1,[3.0154059999622405],[3.0154153000330552],215.7503609,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
1,2,4,6,32,0,4,4,1,4,6,1,[3.0479083999525756],[3.047918599913828],4,0,32,0,221.5115198,,,,,,,,,221.4963946,221.5115198,222.0102592,222.010332,222.0271128,223.4257968,4,1,223.426339,223.4429425,224.6409293,224.6409293,224.6583818,224.7407918,227.7890934,4,6,1,[3.0479083999525756],[3.047918599913828],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
2,3,4,7,33,1,4,7,4,8,9,1,[3.6638915999792516],[3.6639003000454977],4,1,33,1,227.8047042,,,,,,,,,227.7893901,227.8047042,228.2876713,228.2877361,228.3046342,229.7196116,7,4,229.7201507,229.7368798,230.918071,230.918071,230.9512314,231.0178734,234.6821396,8,9,1,[3.6638915999792516],[3.6639003000454977],228.3046342,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
3,5,4,9,34,2,4,7,4,7,4,1,[4.2631552999373525],[4.263164799893275],4,2,34,2,234.6980319,,,,,,,,,234.6824195,234.6980319,235.1814458,235.1815124,235.1970049,236.6128088,7,4,236.6133528,236.6291356,237.8277863,237.8277863,237.8447586,237.9277272,242.1912892,7,4,1,[4.2631552999373525],[4.263164799893275],235.1970049,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
4,8,4,12,35,3,4,6,4,6,4,1,[3.8801634999690577],[3.8801719000330195],4,3,35,3,242.2072934,,,,,,,,,242.1915775,242.2072934,242.7064268,242.7065013,242.723325,244.1223114,6,4,244.1228714,244.1381826,245.3370339,245.3370339,245.3370339,245.4372137,249.3177407,6,4,1,[3.8801634999690577],[3.8801719000330195],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
5,2,5,7,36,4,4,6,7,6,7,1,[4.130275800009258],[4.130284500075504],4,4,36,4,249.33365,,,,,,,,,249.3180073,249.33365,249.8166779,249.8167423,249.8328004,251.2486942,6,7,251.2492668,251.264989,252.4634109,252.4634109,252.4805427,252.5631686,256.6938209,6,7,1,[4.130275800009258],[4.130284500075504],249.8328004,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
6,3,5,8,37,5,4,1,8,1,8,1,[4.113498799968511],[4.113508399925195],4,5,37,5,256.7096464,,,,,,,,,256.6940991,256.7096464,257.1923977,257.1924712,257.2086938,258.6244047,1,8,258.6250066,258.6405389,259.8393211,259.8393211,259.8565861,259.9392055,264.0531179,1,8,1,[4.113498799968511],[4.113508399925195],257.2086938,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
7,5,5,10,38,6,4,1,5,1,5,1,[3.765269600087777],[3.7652790000429377],4,6,38,6,264.0684949,,,,,,,,,264.0533988,264.0684949,264.5517791,264.5518475,264.568662,265.9841285,1,5,265.9846767,265.9999784,267.1988129,267.1988129,267.2145862,267.314706,271.0804049,1,5,1,[3.765269600087777],[3.7652790000429377],264.568662,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
8,8,5,13,39,7,4,3,3,3,6,1,[3.314144999952987],[3.3141536000184715],4,7,39,7,271.0957805,,,,,,,,,271.0806912,271.0957805,271.5951853,271.59526,271.6113233,273.0098399,3,3,273.0104063,273.026474,274.2084694,274.2084694,274.2424574,274.3249024,277.6394194,3,6,1,[3.314144999952987],[3.3141536000184715],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
1,2,4,6,40,0,5,1,9,1,9,1,[3.1974142999388278],[3.19742480001878],5,0,40,0,277.654986,,,,,,,,,277.6396846,277.654986,278.1389392,278.1390033,278.1545477,279.5699559,1,9,279.5704992,279.586325,280.7850987,280.7850987,280.7850987,280.8850649,284.0829195,1,9,1,[3.1974142999388278],[3.19742480001878],278.1545477,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
2,3,4,7,41,1,5,4,4,4,5,1,[3.0306993999984115],[3.0307076000608504],5,1,41,1,284.098593,,,,,,,,,284.0832299,284.098593,284.5817581,284.5818236,284.5979226,286.0152466,4,4,286.0158111,286.0302333,287.2287256,287.2287256,287.2287256,287.3286549,290.3597346,4,5,1,[3.0306993999984115],[3.0307076000608504],284.5979226,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
