trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
4,8,4,12,35,3,4,4,8,4,8,1,[5.5283267999766394],[5.528343199985102],4,3,35,3,257.8861771,,257.8696672,257.8861771,258.3696569,258.369771,258.3852766,259.802037,4,8,259.8029777,259.8177792,260.6325344,260.6325344,260.6649802,260.732179,266.2612409,4,8,1,[5.5283267999766394],[5.528343199985102],258.3852766,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
5,2,5,7,36,4,4,1,9,3,1,1,[4.929962399997748],[4.929978900006972],4,4,36,4,266.2778255,,266.2617455,266.2778255,266.7631178,266.763243,266.777338,268.1936225,1,9,268.1945649,268.2096341,269.0237481,269.0237481,269.0569873,269.1236568,274.0543517,3,1,1,[4.929962399997748],[4.929978900006972],,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
6,3,5,8,37,5,4,9,7,9,8,1,[4.213232699898072],[4.213248199899681],4,5,37,5,274.0697865,,274.0548549,274.0697865,274.5535024,274.5536158,274.5696162,275.9850271,9,7,275.9859675,276.0011799,276.8162737,276.8162737,276.8488711,276.9321267,281.1460962,9,8,1,[4.213232699898072],[4.213248199899681],274.5696162,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
7,5,5,10,38,6,4,2,1,2,1,1,[4.229399700067006],[4.229409700026736],4,6,38,6,281.1630364,,281.1466212,281.1630364,281.6464266,281.6465392,281.6624925,283.0784049,2,1,283.0793326,283.0944747,283.908514,283.908514,283.908514,284.0257156,288.2556629,2,1,1,[4.229399700067006],[4.229409700026736],281.6624925,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
8,8,5,13,39,7,4,5,3,6,3,1,[4.463265200029127],[4.463281200034544],4,7,39,7,288.2719311,,288.2560496,288.2719311,288.7560965,288.756211,288.771727,290.1880884,5,3,290.1890386,290.2039608,291.0185248,291.0185248,291.0185248,291.1181474,295.5821542,6,3,1,[4.463265200029127],[4.463281200034544],288.771727,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
1,2,4,6,40,0,5,1,4,1,4,1,[3.8799119000323117],[3.8799216999905184],5,0,40,0,295.5980266,,295.5826544,295.5980266,296.0821176,296.0822288,296.0983816,297.5136764,1,4,297.5146146,297.5300766,298.3442939,298.3442939,298.3774525,298.4614067,302.3418888,1,4,1,[3.8799119000323117],[3.8799216999905184],296.0983816,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
2,3,4,7,41,1,5,5,7,5,7,1,[5.113469599978998],[5.1134863999905065],5,1,41,1,302.3587079,,302.3422558,302.3587079,302.8422767,302.8423897,302.8578347,304.2740129,5,7,304.2749673,304.2902218,305.1042178,305.1042178,305.1042178,305.2042713,310.3184995,5,7,1,[5.113469599978998],[5.1134863999905065],302.8578347,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
3,5,4,9,42,2,5,9,1,8,1,1,[4.064806399983354],[4.064825500012375],5,2,42,2,310.334098,,310.3190355,310.334098,310.8174368,310.8175507,310.8334669,312.2492545,9,1,312.2502029,312.2655257,313.0630312,313.0630312,313.0966882,313.2127886,317.2783964,8,1,1,[4.064806399983354],[4.064825500012375],310.8334669,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
4,8,4,12,43,3,5,6,3,6,3,1,[4.778558399993926],[4.778574800002389],5,3,43,3,317.2941484,,317.2788699,317.2941484,317.7771362,317.7772259,317.7926729,319.2091879,6,3,319.2099517,319.2248108,320.0235905,320.0235905,320.0572314,320.156707,324.9360458,6,3,1,[4.778558399993926],[4.778574800002389],317.7926729,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
5,2,5,7,44,4,5,9,2,2,9,1,[4.229571999981999],[4.22958759998437],5,4,44,4,324.9531863,,324.9365562,324.9531863,325.4367065,325.4368393,325.452482,326.8682164,9,2,326.8691529,326.8843128,327.7158061,327.7158061,327.7483659,327.815616,332.0459742,2,9,1,[4.229571999981999],[4.22958759998437],,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
