delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon.stopped,polygon_2.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,responses.started,text.started,textbox.started,button.started,responses.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.1,400,unexp,31,7,2,space,0.7592756,None,100,1,[4.212852499913424],[4.212868599919602],2,7,31,0,221.1344257,,221.1212716,221.1344257,222.1333603,222.1333603,222.1333603,222.8998909,space,0.7592756,None,222.9009545,222.9991952,223.3311593,223.2952383,223.2963035,223.3311593,223.3311593,223.3311593,227.5446229,400,1,[4.212852499913424],[4.212868599919602],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,400,unexp,32,8,2,space,2.0439075,None,100,1,[2.1992550999857485],[2.199271499994211],2,8,32,2,227.5614001,,227.5451081,227.5614001,228.5603675,228.5603675,228.5603675,230.6099949,space,2.0439075,None,230.6110437,231.3242126,231.6563357,231.6257486,231.6264418,231.6563357,231.6563357,231.6563357,233.8561846,700,1,[2.1992550999857485],[2.199271499994211],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,33,9,2,space,1.0528192,None,100,1,[3.982162500033155],[3.9821723999921232],2,9,33,6,233.8718867,,233.8566555,233.8718867,234.887811,234.8708824,234.8708824,235.9370736,space,1.0528192,None,235.9381358,236.0367059,236.3679345,236.3375946,236.3382776,236.3679345,236.3679345,236.3679345,240.3505425,100,1,[3.982162500033155],[3.9821723999921232],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,400,unexp,34,10,2,space,0.636975,None,400,1,[2.599069199990481],[2.5990793999517336],2,10,34,1,240.3652981,,240.3508914,240.3652981,241.3644709,241.3644709,241.3644709,242.0145471,space,0.636975,None,242.015596,242.4138547,242.7452603,242.7115908,242.7122682,242.7452603,242.7452603,242.7452603,245.3447818,400,1,[2.599069199990481],[2.5990793999517336],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,35,11,2,space,1.5732213,None,400,1,[2.1487772000255063],[2.1487931000301614],2,11,35,9,245.3608474,,245.3451392,245.3608474,246.3762113,246.3598027,246.3598027,247.9421012,space,1.5732213,None,247.943164,248.0415926,248.3728142,248.3375869,248.3382868,248.3728142,248.3728142,248.3728142,250.5222599,100,1,[2.1487772000255063],[2.1487931000301614],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,400,unexp,36,0,3,space,0.8260113,None,400,1,[3.7647223999956623],[3.764733200077899],3,0,36,0,250.5385566,,250.5227467,250.5385566,251.5377488,251.5377488,251.5377488,252.3710923,space,0.8260113,None,252.3721522,252.470795,252.8020808,252.7702922,252.7709754,252.8020808,252.8020808,252.8020808,256.5672728,400,1,[3.7647223999956623],[3.764733200077899],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,37,1,3,space,0.8385479,None,100,1,[4.397846299922094],[4.397863099933602],3,1,37,9,256.5827385,,256.5676287,256.5827385,257.581741,257.581741,257.581741,258.4315872,space,0.8385479,None,258.4326633,258.530783,258.8624525,258.8336107,258.8342943,258.8624525,258.8624525,258.8624525,263.2608915,100,1,[4.397846299922094],[4.397863099933602],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,38,2,3,space,0.8775061,None,400,1,[1.9177237999392673],[1.9177408999530599],3,2,38,11,263.2760641,,263.2613678,263.2760641,264.2755692,264.2755692,264.2755692,265.1586838,space,0.8775061,None,265.1597501,265.8734947,266.2054945,266.1766082,266.177291,266.2054945,266.2054945,266.2054945,268.1238196,700,1,[1.9177237999392673],[1.9177408999530599],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,39,3,3,space,1.4095263,None,400,1,[2.749678899999708],[2.749695200007409],3,3,39,3,268.1385449,,268.1242962,268.1385449,269.1536705,269.1374352,269.1374352,270.5529266,space,1.4095263,None,270.5540112,270.6530294,270.9838742,270.9533542,270.9540221,270.9838742,270.9838742,270.9838742,273.7341588,100,1,[2.749678899999708],[2.749695200007409],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,40,4,3,space,1.0491211,None,100,1,[3.1486366000026464],[3.14865240000654],3,4,40,8,273.7492041,,273.7346351,273.7492041,274.7484024,274.7484024,274.7484024,275.7986313,space,1.0491211,None,275.7996923,276.5131042,276.8447218,276.808936,276.8100313,276.8447218,276.8447218,276.8447218,279.9939506,400,1,[3.1486366000026464],[3.14865240000654],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
