trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
6,3,5,8,29,5,3,5,1,6,9,1,[3.332137400051579],[3.3321469000075012],3,5,29,5,210.5593878,,,,,,,,,210.5437964,210.5593878,211.0429732,211.0430903,211.0587708,212.4748112,5,1,212.475765,212.4912859,213.7042897,213.7042897,213.7378538,213.8041435,217.1368387,6,9,1,[3.332137400051579],[3.3321469000075012],211.0587708,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,30,6,3,7,3,7,3,1,[4.39767779991962],[4.3976941999280825],3,6,30,6,217.1527565,,,,,,,,,217.1372034,217.1527565,217.6369334,217.6370461,217.6527882,219.068581,7,3,219.0695687,219.084455,220.2977659,220.2977659,220.3312391,220.4148788,224.8133021,7,3,1,[4.39767779991962],[4.3976941999280825],217.6527882,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,31,7,3,5,4,5,4,1,[3.8804269999964163],[3.8804397999774665],3,7,31,7,224.8283417,,,,,,,,,224.813845,224.8283417,225.3120872,225.3122,225.3285243,226.7435591,5,4,226.7445115,226.7597005,227.9736955,227.9736955,228.0073523,228.0735107,231.9546666,5,4,1,[3.8804269999964163],[3.8804397999774665],225.3285243,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,32,0,4,8,6,8,6,1,[3.498230000026524],[3.498245900031179],4,0,32,0,231.9723775,,,,,,,,,231.9550711,231.9723775,232.4713525,232.4714807,232.4877952,233.8867508,8,6,233.8877319,233.9030177,235.116436,235.116436,235.1496716,235.2335889,238.732568,8,6,1,[3.498230000026524],[3.498245900031179],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,33,1,4,2,6,2,6,1,[4.395945299998857],[4.395961100002751],4,1,33,1,238.7480531,,,,,,,,,238.7330856,238.7480531,239.2315854,239.2316996,239.2475036,240.6639595,2,6,240.6649121,240.6802869,241.8934083,241.8934083,241.9267307,241.9932702,246.3899557,2,6,1,[4.395945299998857],[4.395961100002751],239.2475036,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,34,2,4,2,7,2,7,1,[3.780323800048791],[3.7803389000473544],4,2,34,2,246.4073009,,,,,,,,,246.390471,246.4073009,246.9065903,246.9067167,246.9233497,248.3239257,2,7,248.3248936,248.3389865,249.5527991,249.5527991,249.5853614,249.6685776,253.4496418,2,7,1,[3.780323800048791],[3.7803389000473544],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,35,3,4,7,7,7,8,1,[3.679922099923715],[3.679938199929893],4,3,35,3,253.4664674,,,,,,,,,253.4501556,253.4664674,253.9501993,253.9507109,253.9659035,255.3826751,7,7,255.3836205,255.397929,256.612136,256.612136,256.612136,256.7120878,260.392783,7,8,1,[3.679922099923715],[3.679938199929893],253.9659035,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,36,4,4,6,8,6,8,1,[3.6970396999968216],[3.697055700002238],4,4,36,4,260.4099968,,,,,,,,,260.3933032,260.4099968,260.8932446,260.8933708,260.9086489,262.3252399,6,8,262.3262193,262.3413519,263.5548397,263.5548397,263.5880743,263.6717532,267.3695701,6,8,1,[3.6970396999968216],[3.697055700002238],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,37,5,4,4,8,4,8,1,[3.980336399981752],[3.98034660005942],4,5,37,5,267.3864881,,,,,,,,,267.3700949,267.3864881,267.8696624,267.8697779,267.8860013,269.3018099,4,8,269.3027867,269.3175414,270.5313636,270.5313636,270.5313636,270.6312156,274.6121417,4,8,1,[3.980336399981752],[3.98034660005942],267.8860013,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,38,6,4,8,4,8,7,1,[3.631647500093095],[3.6316646999912336],4,6,38,6,274.6295837,,,,,,,,,274.6125148,274.6295837,275.1124861,275.1126218,275.1286251,276.5441671,8,4,276.5451255,276.5606554,277.7743225,277.7743225,277.8078856,277.8744819,281.5069073,8,7,1,[3.631647500093095],[3.6316646999912336],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
