staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
43,0.5,3.0,43.14221909999924,,43.1264642999995,43.14221909999924,43.64179179999974,43.64179179999974,43.64179179999974,43.94126799999958,44.0260645999997,right,3.0,1,1,0.36897700000008626,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
44,0.5,3.0,44.04126649999944,,44.02635849999933,44.04126649999944,44.540764799999124,44.540764799999124,44.540764799999124,44.84058759999971,44.97438629999942,left,-3.0,0,0,0.4172294999998485,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
45,0.5,3.5,44.990430699999706,,44.974697199999355,44.990430699999706,45.4897263999992,45.4897263999992,45.4897263999992,45.78958179999972,46.05658139999923,left,-3.5,1,1,0.5651149000004807,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
46,0.5,3.5,46.07209949999924,,46.056894499999544,46.07209949999924,46.57221699999991,46.57221699999991,46.57221699999991,46.87154819999978,47.022467899999356,left,-3.5,1,1,0.43719400000009045,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
47,0.5,3.5,47.038122199999634,,47.02276009999969,47.038122199999634,47.537861599999815,47.537861599999815,47.537861599999815,47.83752099999947,47.971290299999964,right,3.5,1,1,0.4255145999995875,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
48,0.5,3.0,47.98739609999939,,47.971594799999366,47.98739609999939,48.470326399999976,48.470326399999976,48.48699579999993,48.769605199999205,48.90375859999949,left,-3.0,0,0,0.42786179999984597,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
49,0.5,3.5,48.91951119999976,,48.90407209999921,48.91951119999976,49.41923769999994,49.41923769999994,49.41923769999994,49.71898909999982,50.03604219999943,left,-3.5,1,1,0.6020243000002665,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
50,0.5,3.5,50.051903099999436,,50.0363983999996,50.051903099999436,50.55165549999947,50.55165549999947,50.55165549999947,50.85155459999987,51.001419299999725,left,-3.5,1,1,0.4480636999996932,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
51,0.5,3.5,51.017763699999705,,51.00173079999968,51.017763699999705,51.50065939999968,51.50065939999968,51.51725559999977,51.79986439999993,51.867670099999486,left,-3.5,1,1,0.3534079000000929,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
52,0.5,3.0,51.883308399999805,,51.867989999999736,51.883308399999805,52.38314449999962,52.38314449999962,52.38314449999962,52.68286219999936,52.81591479999952,left,-3.0,0,0,0.4305918999998539,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
